Fecha,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA
1/1/2018 00:00,0,1,1544.873,19.2,4593.287
1/1/2018 01:00,1,1,1425.868,18.6,4384.859
1/1/2018 02:00,2,1,1387.791,18.5,4266.546
1/1/2018 03:00,3,1,1327.708,17.9,4103.462
1/1/2018 04:00,4,1,1268.554,17.5,3912.347
1/1/2018 05:00,5,1,1217.038,17.6,3771.27
1/1/2018 06:00,6,1,1128.84,17.5,3543.885
1/1/2018 07:00,7,1,1023.456,18.2,3236.615
1/1/2018 08:00,8,1,1028.089,20.3,3242.707
1/1/2018 09:00,9,1,1048.221,23,3362.095
1/1/2018 10:00,10,1,1098.717,24.1,3533.832
1/1/2018 11:00,11,1,1163.243,24.2,3743.736
1/1/2018 12:00,12,1,1213.248,25.2,3977.86
1/1/2018 13:00,13,1,1251.905,26.8,4190.38
1/1/2018 14:00,14,1,1270.311,27.2,4315.084
1/1/2018 15:00,15,1,1278.104,27.6,4348.328
1/1/2018 16:00,16,1,1312.695,27.6,4381.883
1/1/2018 17:00,17,1,1329.66,27.8,4437.369
1/1/2018 18:00,18,1,1342.207,26.7,4465.578
1/1/2018 19:00,19,1,1356.613,25,4482.16
1/1/2018 20:00,20,1,1383.077,23.6,4513.834
1/1/2018 21:00,21,1,1529.639,22.6,5073.429
1/1/2018 22:00,22,1,1671.002,22.2,5467.168
1/1/2018 23:00,23,1,1616.774,22.1,5380.353
2/1/2018 00:00,0,3,1555.532,22,5127.305
2/1/2018 01:00,1,3,1480.94,21.8,4794.029
2/1/2018 02:00,2,3,1415.181,21.1,4480.717
2/1/2018 03:00,3,3,1373.3,20.6,4262.842
2/1/2018 04:00,4,3,1351.178,20.3,4136.994
2/1/2018 05:00,5,3,1342.644,20.1,4084.672
2/1/2018 06:00,6,3,1325.981,19,4039.511
2/1/2018 07:00,7,3,1297.142,20.4,4191.323
2/1/2018 08:00,8,3,1405.455,22,4724.106
2/1/2018 09:00,9,3,1582.249,24.6,5357.474
2/1/2018 10:00,10,3,1683.838,26.6,5853.722
2/1/2018 11:00,11,3,1770.951,29.2,6181.227
2/1/2018 12:00,12,3,1843.079,30.8,6419.25
2/1/2018 13:00,13,3,1859.999,32,6654.54
2/1/2018 14:00,14,3,1885.551,31.7,6873.832
2/1/2018 15:00,15,3,1882.901,32.4,7021.209
2/1/2018 16:00,16,3,1875.889,31.9,7002.353
2/1/2018 17:00,17,3,1944.741,31.4,6980.59
2/1/2018 18:00,18,3,1955.41,31.3,6791.236
2/1/2018 19:00,19,3,1923.945,29.7,6517.616
2/1/2018 20:00,20,3,1914.022,28.3,6361.706
2/1/2018 21:00,21,3,2012.094,26.8,6687.912
2/1/2018 22:00,22,3,2057.605,25.6,6928.841
2/1/2018 23:00,23,3,1998.675,24.3,6606.949
3/1/2018 00:00,0,4,1890.021,22.6,6039.233
