Fecha,Hora,Tipo Dia,Energia BSAS,Clima BSAS,Energia GBA,Clima GBA,Año,Mes,,,
1/1/2018 00:00,0,1,1544.873,19.2,4593.287,19.2,2018,1,,,
1/1/2018 01:00,1,1,1425.868,18.6,4384.859,18.6,2018,1,,,
1/1/2018 02:00,2,1,1387.791,18.5,4266.546,18.5,2018,1,,,
1/1/2018 03:00,3,1,1327.708,17.9,4103.462,17.9,2018,1,,,
1/1/2018 04:00,4,1,1268.554,17.5,3912.347,17.5,2018,1,,,
1/1/2018 05:00,5,1,1217.038,17.6,3771.27,17.6,2018,1,,,
1/1/2018 06:00,6,1,1128.84,17.5,3543.885,17.5,2018,1,,,
1/1/2018 07:00,7,1,1197.266091,18.2,3236.615,18.2,2018,1,,,
1/1/2018 08:00,8,1,1206.962091,20.3,3242.707,20.3,2018,1,,,
1/1/2018 09:00,9,1,1253.366545,23,3362.095,23,2018,1,,,
1/1/2018 10:00,10,1,1098.717,24.1,3533.832,24.1,2018,1,,,
1/1/2018 11:00,11,1,1163.243,24.2,3743.736,24.2,2018,1,,,
1/1/2018 12:00,12,1,1213.248,25.2,3977.86,25.2,2018,1,,,
1/1/2018 13:00,13,1,1251.905,26.8,4190.38,26.8,2018,1,,,
1/1/2018 14:00,14,1,1270.311,27.2,4315.084,27.2,2018,1,,,
1/1/2018 15:00,15,1,1278.104,27.6,4348.328,27.6,2018,1,,,
1/1/2018 16:00,16,1,1312.695,27.6,4381.883,27.6,2018,1,,,
1/1/2018 17:00,17,1,1329.66,27.8,4437.369,27.8,2018,1,,,
1/1/2018 18:00,18,1,1342.207,26.7,4465.578,26.7,2018,1,,,
1/1/2018 19:00,19,1,1356.613,25,4482.16,25,2018,1,,,
1/1/2018 20:00,20,1,1383.077,23.6,4513.834,23.6,2018,1,,,
1/1/2018 21:00,21,1,1529.639,22.6,5073.429,22.6,2018,1,,,
1/1/2018 22:00,22,1,1671.002,22.2,5467.168,22.2,2018,1,,,
1/1/2018 23:00,23,1,1616.774,22.1,5380.353,22.1,2018,1,,,
2/1/2018 00:00,0,3,1555.532,22,5127.305,22,2018,1,,,
2/1/2018 01:00,1,3,1480.94,21.8,4794.029,21.8,2018,1,,,
2/1/2018 02:00,2,3,1415.181,21.1,4480.717,21.1,2018,1,,,
2/1/2018 03:00,3,3,1373.3,20.6,4262.842,20.6,2018,1,,,
2/1/2018 04:00,4,3,1351.178,20.3,4136.994,20.3,2018,1,,,
2/1/2018 05:00,5,3,1342.644,20.1,4084.672,20.1,2018,1,,,
2/1/2018 06:00,6,3,1325.981,19,4039.511,19,2018,1,,,
2/1/2018 07:00,7,3,1297.142,20.4,4191.323,20.4,2018,1,,,
2/1/2018 08:00,8,3,1405.455,22,4724.106,22,2018,1,,,
2/1/2018 09:00,9,3,1582.249,24.6,5357.474,24.6,2018,1,,,
2/1/2018 10:00,10,3,1683.838,26.6,5853.722,26.6,2018,1,,,
2/1/2018 11:00,11,3,1770.951,29.2,6181.227,29.2,2018,1,,,
2/1/2018 12:00,12,3,1843.079,30.8,6419.25,30.8,2018,1,,,
2/1/2018 13:00,13,3,1859.999,32,6654.54,32,2018,1,,,
2/1/2018 14:00,14,3,1885.551,31.7,6873.832,31.7,2018,1,,,
2/1/2018 15:00,15,3,1882.901,32.4,7021.209,32.4,2018,1,,,
2/1/2018 16:00,16,3,1875.889,31.9,7002.353,31.9,2018,1,,,
2/1/2018 17:00,17,3,1944.741,31.4,6980.59,31.4,2018,1,,,
2/1/2018 18:00,18,3,1955.41,31.3,6791.236,31.3,2018,1,,,
2/1/2018 19:00,19,3,1923.945,29.7,6517.616,29.7,2018,1,,,
