Fecha,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Clima GBA,Año,Mes
1/1/2018 00:00,0,1,1544.9,14,4593.3,19.2,2018,1
1/1/2018 01:00,1,1,1425.9,13.2,4384.9,18.6,2018,1
1/1/2018 02:00,2,1,1387.8,12.1,4266.5,18.5,2018,1
1/1/2018 03:00,3,1,1327.7,11.2,4103.5,17.9,2018,1
1/1/2018 04:00,4,1,1268.6,10.4,3912.3,17.5,2018,1
1/1/2018 05:00,5,1,1217,9.8,3771.3,17.6,2018,1
1/1/2018 06:00,6,1,1128.8,10.6,3543.9,17.5,2018,1
1/1/2018 07:00,7,1,1197.3,13.6,3236.6,18.2,2018,1
1/1/2018 08:00,8,1,1207,16.8,3242.7,20.3,2018,1
1/1/2018 09:00,9,1,1253.4,18.7,3362.1,23,2018,1
1/1/2018 10:00,10,1,1098.7,20.7,3533.8,24.1,2018,1
1/1/2018 11:00,11,1,1163.2,22.5,3743.7,24.2,2018,1
1/1/2018 12:00,12,1,1213.2,23.9,3977.9,25.2,2018,1
1/1/2018 13:00,13,1,1251.9,25.5,4190.4,26.8,2018,1
1/1/2018 14:00,14,1,1270.3,27,4315.1,27.2,2018,1
1/1/2018 15:00,15,1,1278.1,27.3,4348.3,27.6,2018,1
1/1/2018 16:00,16,1,1312.7,27.9,4381.9,27.6,2018,1
1/1/2018 17:00,17,1,1329.7,28.1,4437.4,27.8,2018,1
1/1/2018 18:00,18,1,1342.2,27.9,4465.6,26.7,2018,1
1/1/2018 19:00,19,1,1356.6,27.5,4482.2,25,2018,1
1/1/2018 20:00,20,1,1383.1,25.3,4513.8,23.6,2018,1
1/1/2018 21:00,21,1,1529.6,22.2,5073.4,22.6,2018,1
1/1/2018 22:00,22,1,1671,20.2,5467.2,22.2,2018,1
1/1/2018 23:00,23,1,1616.8,20.4,5380.4,22.1,2018,1
2/1/2018 00:00,0,3,1555.5,19.6,5127.3,22,2018,1
2/1/2018 01:00,1,3,1480.9,18.2,4794,21.8,2018,1
2/1/2018 02:00,2,3,1415.2,16.6,4480.7,21.1,2018,1
2/1/2018 03:00,3,3,1373.3,15.2,4262.8,20.6,2018,1
2/1/2018 04:00,4,3,1351.2,15.2,4137,20.3,2018,1
2/1/2018 05:00,5,3,1342.6,15,4084.7,20.1,2018,1
2/1/2018 06:00,6,3,1326,15.4,4039.5,19,2018,1
2/1/2018 07:00,7,3,1297.1,16.2,4191.3,20.4,2018,1
2/1/2018 08:00,8,3,1405.5,18.6,4724.1,22,2018,1
2/1/2018 09:00,9,3,1582.2,22,5357.5,24.6,2018,1
2/1/2018 10:00,10,3,1683.8,25.2,5853.7,26.6,2018,1
2/1/2018 11:00,11,3,1771,26.4,6181.2,29.2,2018,1
2/1/2018 12:00,12,3,1843.1,29.2,6419.3,30.8,2018,1
2/1/2018 13:00,13,3,1860,28.5,6654.5,32,2018,1
2/1/2018 14:00,14,3,1885.6,28.4,6873.8,31.7,2018,1
2/1/2018 15:00,15,3,1882.9,23.4,7021.2,32.4,2018,1
2/1/2018 16:00,16,3,1875.9,23.4,7002.4,31.9,2018,1
2/1/2018 17:00,17,3,1944.7,23,6980.6,31.4,2018,1
2/1/2018 18:00,18,3,1955.4,19.6,6791.2,31.3,2018,1
2/1/2018 19:00,19,3,1923.9,17.8,6517.6,29.7,2018,1
2/1/2018 20:00,20,3,1914,17.6,6361.7,28.3,2018,1
2/1/2018 21:00,21,3,2012.1,16.6,6687.9,26.8,2018,1
2/1/2018 22:00,22,3,2057.6,15.8,6928.8,25.6,2018,1
2/1/2018 23:00,23,3,1998.7,12.6,6606.9,24.3,2018,1
3/1/2018 00:00,0,4,1890,11.6,6039.2,22.6,2018,1
3/1/2018 01:00,1,4,1817.2,10.8,5492,21.5,2018,1
3/1/2018 02:00,2,4,1716.6,11.1,5059,20.9,2018,1
3/1/2018 03:00,3,4,1652.1,10.8,4792,20.5,2018,1
3/1/2018 04:00,4,4,1627.6,9.8,4614.6,18.8,2018,1
3/1/2018 05:00,5,4,1605.5,10.3,4540.2,17.4,2018,1
3/1/2018 06:00,6,4,1563.3,10.6,4472,16.9,2018,1
3/1/2018 07:00,7,4,1510.9,12.8,4521.3,18.9,2018,1
3/1/2018 08:00,8,4,1623.8,14.6,4968,23.2,2018,1
3/1/2018 09:00,9,4,1735.8,18.2,5577.4,25,2018,1
3/1/2018 10:00,10,4,1830.1,22.1,6020.1,26.7,2018,1
3/1/2018 11:00,11,4,1911.1,23.9,6425.9,28.6,2018,1
3/1/2018 12:00,12,4,1983.1,25.7,6679.1,31.2,2018,1
3/1/2018 13:00,13,4,2029.2,27.3,7033.4,31.6,2018,1
3/1/2018 14:00,14,4,2035.7,28.5,7314,32.3,2018,1
3/1/2018 15:00,15,4,2038.7,28.8,7502.6,32.8,2018,1
3/1/2018 16:00,16,4,1973,29.6,7588.5,33.8,2018,1
3/1/2018 17:00,17,4,1990.6,30.2,7524.1,33.3,2018,1
3/1/2018 18:00,18,4,2006.3,27.3,7335.6,32.9,2018,1
3/1/2018 19:00,19,4,1993.4,24.2,7008.1,31.2,2018,1
3/1/2018 20:00,20,4,1970.8,21.5,6832.5,30,2018,1
3/1/2018 21:00,21,4,2111.2,20,7269.6,28.1,2018,1
3/1/2018 22:00,22,4,2171.3,18,7568.1,26.2,2018,1
3/1/2018 23:00,23,4,2085.9,16.4,7360.6,26.3,2018,1
4/1/2018 00:00,0,5,2006.2,16.6,6975.3,26,2018,1
4/1/2018 01:00,1,5,1895.4,15.8,6373.4,25.3,2018,1
4/1/2018 02:00,2,5,1813.4,18.4,5931.9,24.6,2018,1
4/1/2018 03:00,3,5,1738.3,17.4,5577,23.6,2018,1
4/1/2018 04:00,4,5,1689.5,17,5338.9,23.1,2018,1
4/1/2018 05:00,5,5,1691.5,17.2,5216,22.2,2018,1
4/1/2018 06:00,6,5,1637.2,18.4,5110,23,2018,1
4/1/2018 07:00,7,5,1560.1,18.8,5134.6,24.5,2018,1
4/1/2018 08:00,8,5,1635.6,21.6,5641.6,27.2,2018,1
4/1/2018 09:00,9,5,1775.1,26.5,6313.1,28.8,2018,1
4/1/2018 10:00,10,5,1886.6,27.9,6836.3,30.2,2018,1
4/1/2018 11:00,11,5,1923.2,26.9,7181.1,31.6,2018,1
4/1/2018 12:00,12,5,2039.2,26.8,7600.3,33.2,2018,1
4/1/2018 13:00,13,5,2115.7,26.5,8007,34.8,2018,1
4/1/2018 14:00,14,5,2189.7,23.4,8292.8,35.4,2018,1
4/1/2018 15:00,15,5,2179.7,24,8616.2,35.6,2018,1
4/1/2018 16:00,16,5,2161.8,25.5,8762.5,36.6,2018,1
4/1/2018 17:00,17,5,2168.1,26.5,8650.8,35.9,2018,1
4/1/2018 18:00,18,5,2144,26.4,8422.4,35.4,2018,1
4/1/2018 19:00,19,5,2116.5,22.1,8079.3,34.4,2018,1
4/1/2018 20:00,20,5,2068.3,20.7,7927.9,33.1,2018,1
4/1/2018 21:00,21,5,2144.5,19.4,8423.5,31.8,2018,1
4/1/2018 22:00,22,5,2216.9,20,8839.6,31.1,2018,1
4/1/2018 23:00,23,5,2130.4,19.8,8735.2,30.5,2018,1
5/1/2018 00:00,0,6,2095.9,19.2,8319.4,30.3,2018,1
5/1/2018 01:00,1,6,1936.9,18,7732.7,29.8,2018,1
5/1/2018 02:00,2,6,1824.4,#N/A,7199.3,29.4,2018,1
5/1/2018 03:00,3,6,1773.3,17,6761.6,28.2,2018,1
5/1/2018 04:00,4,6,1718.7,16.4,6471.1,27.8,2018,1
5/1/2018 05:00,5,6,1696.2,15.8,6238.8,26.3,2018,1
5/1/2018 06:00,6,6,1644.2,15.2,6033.7,24.8,2018,1
5/1/2018 07:00,7,6,1575.5,15.4,5749.7,22.4,2018,1
5/1/2018 08:00,8,6,1616.4,15.8,5830.4,21.4,2018,1
5/1/2018 09:00,9,6,1716.1,16.9,6057.3,22.2,2018,1
5/1/2018 10:00,10,6,1797.3,17.9,6158.8,20.4,2018,1
5/1/2018 11:00,11,6,1861,18.3,6152.6,18.8,2018,1
5/1/2018 12:00,12,6,1894.9,19.9,6113.7,19.4,2018,1
5/1/2018 13:00,13,6,1903.3,20.6,6101.2,20,2018,1
5/1/2018 14:00,14,6,1889.7,21.4,6051.9,21.2,2018,1
5/1/2018 15:00,15,6,1897.6,21.9,6041.6,21.6,2018,1
5/1/2018 16:00,16,6,1889.4,22.2,5963.8,20.4,2018,1
5/1/2018 17:00,17,6,1912.9,23.1,5840.1,19.8,2018,1
5/1/2018 18:00,18,6,1930.4,19.8,5689.9,20,2018,1
5/1/2018 19:00,19,6,1883,19,5523.4,20.4,2018,1
5/1/2018 20:00,20,6,1866.3,18,5487.9,19.8,2018,1
5/1/2018 21:00,21,6,1937.7,16.7,5849.1,19.4,2018,1
5/1/2018 22:00,22,6,2005.1,15.8,5923.1,19.1,2018,1
5/1/2018 23:00,23,6,1897.9,#N/A,5601.1,18.8,2018,1
6/1/2018 00:00,0,7,1833.6,14.1,5214.8,18.1,2018,1
6/1/2018 01:00,1,7,1719.3,13.1,4849.6,17.4,2018,1
6/1/2018 02:00,2,7,1625.6,11,4532.1,18,2018,1
6/1/2018 03:00,3,7,1572,9.6,4299.6,17.5,2018,1
6/1/2018 04:00,4,7,1544.4,9,4149.2,17.1,2018,1
6/1/2018 05:00,5,7,1512.5,9,4044.9,16.8,2018,1
6/1/2018 06:00,6,7,1462.3,9.3,3895.8,15.8,2018,1
6/1/2018 07:00,7,7,1391.1,10.6,3714,16.5,2018,1
