Fecha,Hora,Tipo Dia,Clima BSAS,Energia GBA,Clima GBA,Año,Mes
2018-01-01 00:00:00,0,1,19.2,4605.074781035074,19.2,2018,1
2018-01-01 01:00:00,1,1,18.6,4390.676613371828,18.6,2018,1
2018-01-01 02:00:00,2,1,18.5,4271.047382373807,18.5,2018,1
2018-01-01 03:00:00,3,1,17.9,4116.751625528722,17.9,2018,1
2018-01-01 04:00:00,4,1,17.5,3912.2014625910815,17.5,2018,1
2018-01-01 05:00:00,5,1,17.6,3780.383327951741,17.6,2018,1
2018-01-01 06:00:00,6,1,17.5,3569.852204375042,17.5,2018,1
2018-01-01 07:00:00,7,1,18.2,3247.8385773832665,18.2,2018,1
2018-01-01 08:00:00,8,1,20.3,3250.482684392317,20.3,2018,1
2018-01-01 09:00:00,9,1,23.0,3397.4024620961272,23.0,2018,1
2018-01-01 10:00:00,10,1,24.1,3526.9261675205107,24.1,2018,1
2018-01-01 11:00:00,11,1,24.2,3756.3133604536993,24.2,2018,1
2018-01-01 12:00:00,12,1,25.2,3988.8676998847786,25.2,2018,1
2018-01-01 13:00:00,13,1,26.8,4205.443467468201,26.8,2018,1
2018-01-01 14:00:00,14,1,27.2,4323.60443221623,27.2,2018,1
2018-01-01 15:00:00,15,1,27.6,4357.525315719903,27.6,2018,1
2018-01-01 16:00:00,16,1,27.6,4390.676613371828,27.6,2018,1
2018-01-01 17:00:00,17,1,27.8,4439.514626898287,27.8,2018,1
2018-01-01 18:00:00,18,1,26.7,4473.551836132881,26.7,2018,1
2018-01-01 19:00:00,19,1,25.0,4490.182699544677,25.0,2018,1
2018-01-01 20:00:00,20,1,23.6,4520.986467439512,23.6,2018,1
2018-01-01 21:00:00,21,1,22.6,5072.2445578755005,22.6,2018,1
2018-01-01 22:00:00,22,1,22.2,5469.981664585813,22.2,2018,1
2018-01-01 23:00:00,23,1,22.1,5386.057990921933,22.1,2018,1
2018-01-02 00:00:00,0,3,22.0,5125.11874396366,22.0,2018,1
2018-01-02 01:00:00,1,3,21.8,4796.172438064182,21.8,2018,1
2018-01-02 02:00:00,2,3,21.1,4490.182699544677,21.1,2018,1
2018-01-02 03:00:00,3,3,20.6,4271.047382373807,20.6,2018,1
2018-01-02 04:00:00,4,3,20.3,4154.897424214197,20.3,2018,1
2018-01-02 05:00:00,5,3,20.1,4100.500618004069,20.1,2018,1
2018-01-02 06:00:00,6,3,19.0,4044.1608901638165,19.0,2018,1
2018-01-02 07:00:00,7,3,20.4,4205.443467468201,20.4,2018,1
2018-01-02 08:00:00,8,3,22.0,4724.024022421426,22.0,2018,1
2018-01-02 09:00:00,9,3,24.6,5362.6014448214,24.6,2018,1
2018-01-02 10:00:00,10,3,26.6,5852.843582313923,26.6,2018,1
2018-01-02 11:00:00,11,3,29.2,6173.776021574732,29.2,2018,1
2018-01-02 12:00:00,12,3,30.8,6404.5035398609,30.8,2018,1
2018-01-02 13:00:00,13,3,32.0,6659.090564324953,32.0,2018,1
2018-01-02 14:00:00,14,3,31.7,6856.51317353626,31.7,2018,1
2018-01-02 15:00:00,15,3,32.4,7025.5124312285925,32.4,2018,1
2018-01-02 16:00:00,16,3,31.9,6996.681498421137,31.9,2018,1
2018-01-02 17:00:00,17,3,31.4,6970.654054693027,31.4,2018,1
2018-01-02 18:00:00,18,3,31.3,6777.236829745394,31.3,2018,1
2018-01-02 19:00:00,19,3,29.7,6519.745038979713,29.7,2018,1
2018-01-02 20:00:00,20,3,28.3,6364.348261658755,28.3,2018,1
2018-01-02 21:00:00,21,3,26.8,6682.682038409812,26.8,2018,1
2018-01-02 22:00:00,22,3,25.6,6911.7638374469625,25.6,2018,1
2018-01-02 23:00:00,23,3,24.3,6610.016478680517,24.3,2018,1
2018-01-03 00:00:00,0,4,22.6,6034.766759164318,22.6,2018,1
2018-01-03 01:00:00,1,4,21.5,5488.788127229377,21.5,2018,1
2018-01-03 02:00:00,2,4,20.9,5058.463571987179,20.9,2018,1
2018-01-03 03:00:00,3,4,20.5,4796.172438064182,20.5,2018,1
2018-01-03 04:00:00,4,4,18.8,4620.416307260868,18.8,2018,1
2018-01-03 05:00:00,5,4,17.4,4553.676762847899,17.4,2018,1
2018-01-03 06:00:00,6,4,16.9,4473.551836132881,16.9,2018,1
2018-01-03 07:00:00,7,4,18.9,4536.419931480989,18.9,2018,1
2018-01-03 08:00:00,8,4,23.2,4973.868394946192,23.2,2018,1
2018-01-03 09:00:00,9,4,25.0,5576.503558037559,25.0,2018,1
2018-01-03 10:00:00,10,4,26.7,6019.092797251294,26.7,2018,1
2018-01-03 11:00:00,11,4,28.6,6424.220683352167,28.6,2018,1
2018-01-03 12:00:00,12,4,31.2,6682.682038409812,31.2,2018,1
2018-01-03 13:00:00,13,4,31.6,7025.5124312285925,31.6,2018,1
2018-01-03 14:00:00,14,4,32.3,7307.137590239537,32.3,2018,1
2018-01-03 15:00:00,15,4,32.8,7509.851187208834,32.8,2018,1
2018-01-03 16:00:00,16,4,33.8,7585.037143105948,33.8,2018,1
2018-01-03 17:00:00,17,4,33.3,7509.851187208834,33.3,2018,1
2018-01-03 18:00:00,18,4,32.9,7338.780438181129,32.9,2018,1
2018-01-03 19:00:00,19,4,31.2,6996.681498421137,31.2,2018,1
2018-01-03 20:00:00,20,4,30.0,6828.882926608362,30.0,2018,1
2018-01-03 21:00:00,21,4,28.1,7272.307031957784,28.1,2018,1
2018-01-03 22:00:00,22,4,26.2,7545.383192999405,26.2,2018,1
2018-01-03 23:00:00,23,4,26.3,7338.780438181129,26.3,2018,1
2018-01-04 00:00:00,0,5,26.0,6970.654054693027,26.0,2018,1
2018-01-04 01:00:00,1,5,25.3,6364.348261658755,25.3,2018,1
2018-01-04 02:00:00,2,5,24.6,5935.114702465357,24.6,2018,1
2018-01-04 03:00:00,3,5,23.6,5576.503558037559,23.6,2018,1
2018-01-04 04:00:00,4,5,23.1,5345.967923603375,23.1,2018,1
2018-01-04 05:00:00,5,5,22.2,5213.556582692573,22.2,2018,1
2018-01-04 06:00:00,6,5,23.0,5112.978059539189,23.0,2018,1
2018-01-04 07:00:00,7,5,24.5,5138.743182315395,24.5,2018,1
2018-01-04 08:00:00,8,5,27.2,5645.546535139586,27.2,2018,1
2018-01-04 09:00:00,9,5,28.8,6302.156508452634,28.8,2018,1
2018-01-04 10:00:00,10,5,30.2,6828.882926608362,30.2,2018,1
2018-01-04 11:00:00,11,5,31.6,7177.378802534832,31.6,2018,1
2018-01-04 12:00:00,12,5,33.2,7585.037143105948,33.2,2018,1
2018-01-04 13:00:00,13,5,34.8,8006.640070210012,34.8,2018,1
2018-01-04 14:00:00,14,5,35.4,8299.063578776386,35.4,2018,1
2018-01-04 15:00:00,15,5,35.6,8639.979929083192,35.6,2018,1
2018-01-04 16:00:00,16,5,36.6,8728.314002610909,36.6,2018,1
2018-01-04 17:00:00,17,5,35.9,8639.979929083192,35.9,2018,1
2018-01-04 18:00:00,18,5,35.4,8417.58718409588,35.4,2018,1
2018-01-04 19:00:00,19,5,34.4,8062.134714673976,34.4,2018,1
2018-01-04 20:00:00,20,5,33.1,7894.670173361149,33.1,2018,1
2018-01-04 21:00:00,21,5,31.8,8418.048033959603,31.8,2018,1
2018-01-04 22:00:00,22,5,31.1,8864.348220330601,31.1,2018,1
2018-01-04 23:00:00,23,5,30.5,8729.922745546144,30.5,2018,1
2018-01-05 00:00:00,0,6,30.3,8299.063578776386,30.3,2018,1
2018-01-05 01:00:00,1,6,29.8,7708.9115640177015,29.8,2018,1
2018-01-05 02:00:00,2,6,29.4,7177.378802534832,29.4,2018,1
2018-01-05 03:00:00,3,6,28.2,6756.381690609142,28.2,2018,1
2018-01-05 04:00:00,4,6,27.8,6462.2207645753215,27.8,2018,1
2018-01-05 05:00:00,5,6,26.3,6227.291918271569,26.3,2018,1
2018-01-05 06:00:00,6,6,24.8,6034.766759164318,24.8,2018,1
2018-01-05 07:00:00,7,6,22.4,5744.942189169694,22.4,2018,1
2018-01-05 08:00:00,8,6,21.4,5827.824129126751,21.4,2018,1
2018-01-05 09:00:00,9,6,22.2,6050.214463824467,22.2,2018,1
2018-01-05 10:00:00,10,6,20.4,6157.693068366888,20.4,2018,1
2018-01-05 11:00:00,11,6,18.8,6157.693068366888,18.8,2018,1
2018-01-05 12:00:00,12,6,19.4,6111.408612374576,19.4,2018,1
2018-01-05 13:00:00,13,6,20.0,6094.325953575426,20.0,2018,1
2018-01-05 14:00:00,14,6,21.2,6050.214463824467,21.2,2018,1
