Fecha,Hora,Tipo Dia,Forecast PBA,Forecast GBA,Año,Mes
1/10/2021 00:00,0,6,1572,5757,2021,10
1/10/2021 01:00,1,6,1472,5017,2021,10
1/10/2021 02:00,2,6,1393,4700,2021,10
1/10/2021 03:00,3,6,1380,4533,2021,10
1/10/2021 04:00,4,6,1385,4463,2021,10
1/10/2021 05:00,5,6,1406,4541,2021,10
1/10/2021 06:00,6,6,1485,4808,2021,10
1/10/2021 07:00,7,6,1581,5291,2021,10
1/10/2021 08:00,8,6,1626,5633,2021,10
1/10/2021 09:00,9,6,1688,5876,2021,10
1/10/2021 10:00,10,6,1740,6027,2021,10
1/10/2021 11:00,11,6,1755,6106,2021,10
1/10/2021 12:00,12,6,1705,6095,2021,10
1/10/2021 13:00,13,6,1671,6058,2021,10
1/10/2021 14:00,14,6,1623,5906,2021,10
1/10/2021 15:00,15,6,1570,5678,2021,10
1/10/2021 16:00,16,6,1543,5483,2021,10
1/10/2021 17:00,17,6,1470,5383,2021,10
1/10/2021 18:00,18,6,1484,5384,2021,10
1/10/2021 19:00,19,6,1650,5880,2021,10
1/10/2021 20:00,20,6,1888,6372,2021,10
1/10/2021 21:00,21,6,1888,6560,2021,10
1/10/2021 22:00,22,6,1741,6362,2021,10
1/10/2021 23:00,23,6,1616,5968,2021,10
2/10/2021 00:00,0,7,1518,5481,2021,10
2/10/2021 01:00,1,7,1404,5069,2021,10
2/10/2021 02:00,2,7,1327,4699,2021,10
2/10/2021 03:00,3,7,1285,4522,2021,10
2/10/2021 04:00,4,7,1295,4389,2021,10
2/10/2021 05:00,5,7,1282,4343,2021,10
2/10/2021 06:00,6,7,1346,4342,2021,10
2/10/2021 07:00,7,7,1311,4359,2021,10
2/10/2021 08:00,8,7,1276,4667,2021,10
2/10/2021 09:00,9,7,1376,4993,2021,10
2/10/2021 10:00,10,7,1452,5175,2021,10
2/10/2021 11:00,11,7,1444,5146,2021,10
2/10/2021 12:00,12,7,1409,5129,2021,10
2/10/2021 13:00,13,7,1383,5068,2021,10
2/10/2021 14:00,14,7,1319,4894,2021,10
2/10/2021 15:00,15,7,1284,4765,2021,10
2/10/2021 16:00,16,7,1241,4640,2021,10
2/10/2021 17:00,17,7,1259,4595,2021,10
2/10/2021 18:00,18,7,1306,4690,2021,10
2/10/2021 19:00,19,7,1454,5032,2021,10
2/10/2021 20:00,20,7,1658,5645,2021,10
2/10/2021 21:00,21,7,1606,5697,2021,10
2/10/2021 22:00,22,7,1458,5418,2021,10
2/10/2021 23:00,23,7,1399,5138,2021,10
3/10/2021 00:00,0,1,1353,4800,2021,10
3/10/2021 01:00,1,1,1359,4643,2021,10
3/10/2021 02:00,2,1,1348,4382,2021,10
3/10/2021 03:00,3,1,1337,4209,2021,10
3/10/2021 04:00,4,1,1303,4111,2021,10
3/10/2021 05:00,5,1,1284,4062,2021,10
3/10/2021 06:00,6,1,1314,4052,2021,10
3/10/2021 07:00,7,1,1287,3916,2021,10
3/10/2021 08:00,8,1,1231,4042,2021,10
3/10/2021 09:00,9,1,1241,4326,2021,10
3/10/2021 10:00,10,1,1272,4661,2021,10
3/10/2021 11:00,11,1,1310,4776,2021,10
3/10/2021 12:00,12,1,1322,4926,2021,10
3/10/2021 13:00,13,1,1360,4952,2021,10
3/10/2021 14:00,14,1,1315,4846,2021,10
3/10/2021 15:00,15,1,1258,4799,2021,10
3/10/2021 16:00,16,1,1233,4697,2021,10
3/10/2021 17:00,17,1,1215,4695,2021,10
3/10/2021 18:00,18,1,1289,4848,2021,10
3/10/2021 19:00,19,1,1497,5520,2021,10
3/10/2021 20:00,20,1,1752,5892,2021,10
3/10/2021 21:00,21,1,1693,6006,2021,10
3/10/2021 22:00,22,1,1627,5816,2021,10
3/10/2021 23:00,23,1,1560,5483,2021,10
4/10/2021 00:00,0,2,1456,5012,2021,10
4/10/2021 01:00,1,2,1408,4683,2021,10
4/10/2021 02:00,2,2,1343,4470,2021,10
4/10/2021 03:00,3,2,1319,4300,2021,10
4/10/2021 04:00,4,2,1389,4258,2021,10
4/10/2021 05:00,5,2,1418,4403,2021,10
4/10/2021 06:00,6,2,1547,4816,2021,10
4/10/2021 07:00,7,2,1421,4936,2021,10
4/10/2021 08:00,8,2,1551,5421,2021,10
4/10/2021 09:00,9,2,1646,5827,2021,10
4/10/2021 10:00,10,2,1660,6212,2021,10
4/10/2021 11:00,11,2,1737,6342,2021,10
4/10/2021 12:00,12,2,1664,6362,2021,10
4/10/2021 13:00,13,2,1611,6339,2021,10
4/10/2021 14:00,14,2,1568,6246,2021,10
4/10/2021 15:00,15,2,1580,6115,2021,10
4/10/2021 16:00,16,2,1523,5941,2021,10
4/10/2021 17:00,17,2,1429,5807,2021,10
4/10/2021 18:00,18,2,1446,5869,2021,10
4/10/2021 19:00,19,2,1602,6325,2021,10
4/10/2021 20:00,20,2,1837,6830,2021,10
4/10/2021 21:00,21,2,1849,7035,2021,10
4/10/2021 22:00,22,2,1686,6741,2021,10
4/10/2021 23:00,23,2,1570,6372,2021,10
5/10/2021 00:00,0,3,1463,5885,2021,10
5/10/2021 01:00,1,3,1560,5009,2021,10
5/10/2021 02:00,2,3,1476,4703,2021,10
5/10/2021 03:00,3,3,1434,4574,2021,10
5/10/2021 04:00,4,3,1470,4534,2021,10
5/10/2021 05:00,5,3,1503,4575,2021,10
5/10/2021 06:00,6,3,1487,4882,2021,10
5/10/2021 07:00,7,3,1489,5322,2021,10
5/10/2021 08:00,8,3,1567,5646,2021,10
5/10/2021 09:00,9,3,1713,5857,2021,10
5/10/2021 10:00,10,3,1799,5986,2021,10
5/10/2021 11:00,11,3,1777,5962,2021,10
5/10/2021 12:00,12,3,1742,5891,2021,10
5/10/2021 13:00,13,3,1689,5822,2021,10
5/10/2021 14:00,14,3,1609,5734,2021,10
5/10/2021 15:00,15,3,1554,5637,2021,10
5/10/2021 16:00,16,3,1525,5523,2021,10
5/10/2021 17:00,17,3,1521,5415,2021,10
5/10/2021 18:00,18,3,1526,5407,2021,10
5/10/2021 19:00,19,3,1698,5764,2021,10
5/10/2021 20:00,20,3,1902,6303,2021,10
5/10/2021 21:00,21,3,1879,6403,2021,10
5/10/2021 22:00,22,3,1769,6036,2021,10
5/10/2021 23:00,23,3,1630,5594,2021,10
6/10/2021 00:00,0,4,1601,5067,2021,10
6/10/2021 01:00,1,4,1442,4616,2021,10
6/10/2021 02:00,2,4,1399,4360,2021,10
6/10/2021 03:00,3,4,1376,4276,2021,10
6/10/2021 04:00,4,4,1360,4197,2021,10
6/10/2021 05:00,5,4,1389,4262,2021,10
6/10/2021 06:00,6,4,1396,4597,2021,10
6/10/2021 07:00,7,4,1442,4993,2021,10
6/10/2021 08:00,8,4,1481,5613,2021,10
6/10/2021 09:00,9,4,1549,5950,2021,10
6/10/2021 10:00,10,4,1630,6183,2021,10
6/10/2021 11:00,11,4,1599,6321,2021,10
6/10/2021 12:00,12,4,1519,6350,2021,10
6/10/2021 13:00,13,4,1436,6366,2021,10
6/10/2021 14:00,14,4,1368,6362,2021,10
6/10/2021 15:00,15,4,1332,6269,2021,10
6/10/2021 16:00,16,4,1393,6118,2021,10
6/10/2021 17:00,17,4,1380,6051,2021,10
6/10/2021 18:00,18,4,1391,5979,2021,10
6/10/2021 19:00,19,4,1501,6258,2021,10
6/10/2021 20:00,20,4,1878,6765,2021,10
6/10/2021 21:00,21,4,1917,6861,2021,10
6/10/2021 22:00,22,4,1796,6433,2021,10
6/10/2021 23:00,23,4,1654,5940,2021,10
7/10/2021 00:00,0,5,1491,5512,2021,10
7/10/2021 01:00,1,5,1419,5005,2021,10
7/10/2021 02:00,2,5,1365,4702,2021,10
7/10/2021 03:00,3,5,1359,4502,2021,10
7/10/2021 04:00,4,5,1367,4447,2021,10
7/10/2021 05:00,5,5,1389,4481,2021,10
7/10/2021 06:00,6,5,1439,4732,2021,10
7/10/2021 07:00,7,5,1460,5210,2021,10
7/10/2021 08:00,8,5,1542,5643,2021,10
7/10/2021 09:00,9,5,1653,5990,2021,10
7/10/2021 10:00,10,5,1727,6098,2021,10
7/10/2021 11:00,11,5,1741,6074,2021,10
7/10/2021 12:00,12,5,1673,5995,2021,10
7/10/2021 13:00,13,5,1602,5882,2021,10
7/10/2021 14:00,14,5,1560,5782,2021,10
7/10/2021 15:00,15,5,1497,5567,2021,10
7/10/2021 16:00,16,5,1489,5389,2021,10
7/10/2021 17:00,17,5,1478,5303,2021,10
7/10/2021 18:00,18,5,1440,5265,2021,10
7/10/2021 19:00,19,5,1572,5599,2021,10
7/10/2021 20:00,20,5,1862,6301,2021,10
7/10/2021 21:00,21,5,1834,6471,2021,10
7/10/2021 22:00,22,5,1694,6280,2021,10
7/10/2021 23:00,23,5,1573,5856,2021,10
8/10/2021 00:00,0,1,1445,5307,2021,10
8/10/2021 01:00,1,1,1609,5222,2021,10
8/10/2021 02:00,2,1,1497,4850,2021,10
8/10/2021 03:00,3,1,1476,4605,2021,10
8/10/2021 04:00,4,1,1413,4453,2021,10
8/10/2021 05:00,5,1,1459,4352,2021,10
8/10/2021 06:00,6,1,1479,4343,2021,10
8/10/2021 07:00,7,1,1476,4113,2021,10
8/10/2021 08:00,8,1,1472,4439,2021,10
8/10/2021 09:00,9,1,1552,4733,2021,10
8/10/2021 10:00,10,1,1620,4960,2021,10
8/10/2021 11:00,11,1,1616,5032,2021,10
8/10/2021 12:00,12,1,1577,5237,2021,10
8/10/2021 13:00,13,1,1518,5390,2021,10
8/10/2021 14:00,14,1,1501,5357,2021,10
8/10/2021 15:00,15,1,1419,5245,2021,10
8/10/2021 16:00,16,1,1408,5156,2021,10
8/10/2021 17:00,17,1,1462,5058,2021,10
8/10/2021 18:00,18,1,1485,5019,2021,10
8/10/2021 19:00,19,1,1747,5461,2021,10
8/10/2021 20:00,20,1,1873,5924,2021,10
8/10/2021 21:00,21,1,1810,5986,2021,10
8/10/2021 22:00,22,1,1683,5828,2021,10
8/10/2021 23:00,23,1,1617,5567,2021,10
9/10/2021 00:00,0,7,1545,5215,2021,10
9/10/2021 01:00,1,7,1594,4846,2021,10
9/10/2021 02:00,2,7,1505,4455,2021,10
9/10/2021 03:00,3,7,1473,4200,2021,10
9/10/2021 04:00,4,7,1461,4120,2021,10
9/10/2021 05:00,5,7,1517,4087,2021,10
9/10/2021 06:00,6,7,1545,4118,2021,10
9/10/2021 07:00,7,7,1451,4221,2021,10
9/10/2021 08:00,8,7,1566,4558,2021,10
9/10/2021 09:00,9,7,1711,4923,2021,10
9/10/2021 10:00,10,7,1790,5173,2021,10
9/10/2021 11:00,11,7,1861,5213,2021,10
9/10/2021 12:00,12,7,1860,5127,2021,10
9/10/2021 13:00,13,7,1768,5093,2021,10
9/10/2021 14:00,14,7,1726,4920,2021,10
9/10/2021 15:00,15,7,1706,4766,2021,10
9/10/2021 16:00,16,7,1676,4658,2021,10
9/10/2021 17:00,17,7,1737,4621,2021,10
9/10/2021 18:00,18,7,1741,4700,2021,10
9/10/2021 19:00,19,7,1828,5053,2021,10
9/10/2021 20:00,20,7,1971,5666,2021,10
9/10/2021 21:00,21,7,2036,5700,2021,10
9/10/2021 22:00,22,7,1886,5448,2021,10
9/10/2021 23:00,23,7,1833,5144,2021,10
10/10/2021 00:00,0,1,1691,4814,2021,10
10/10/2021 01:00,1,1,1533,4393,2021,10
10/10/2021 02:00,2,1,1446,4112,2021,10
