,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Clima GBA,Año,Mes
0,0.0,1.0,1544.9,14.0,4593.3,19.2,2018.0,1.0
1,1.0,1.0,1425.9,13.2,4384.9,18.6,2018.0,1.0
2,2.0,1.0,1387.8,12.1,4266.5,18.5,2018.0,1.0
3,3.0,1.0,1327.7,11.2,4103.5,17.9,2018.0,1.0
4,4.0,1.0,1268.6,10.4,3912.3,17.5,2018.0,1.0
5,5.0,1.0,1217.0,9.8,3771.3,17.6,2018.0,1.0
6,6.0,1.0,1128.8,10.6,3543.9,17.5,2018.0,1.0
7,7.0,1.0,1197.3,13.6,3236.6,18.2,2018.0,1.0
8,8.0,1.0,1207.0,16.8,3242.7,20.3,2018.0,1.0
9,9.0,1.0,1253.4,18.7,3362.1,23.0,2018.0,1.0
10,10.0,1.0,1098.7,20.7,3533.8,24.1,2018.0,1.0
11,11.0,1.0,1163.2,22.5,3743.7,24.2,2018.0,1.0
12,12.0,1.0,1213.2,23.9,3977.9,25.2,2018.0,1.0
13,13.0,1.0,1251.9,25.5,4190.4,26.8,2018.0,1.0
14,14.0,1.0,1270.3,27.0,4315.1,27.2,2018.0,1.0
15,15.0,1.0,1278.1,27.3,4348.3,27.6,2018.0,1.0
16,16.0,1.0,1312.7,27.9,4381.9,27.6,2018.0,1.0
17,17.0,1.0,1329.7,28.1,4437.4,27.8,2018.0,1.0
18,18.0,1.0,1342.2,27.9,4465.6,26.7,2018.0,1.0
19,19.0,1.0,1356.6,27.5,4482.2,25.0,2018.0,1.0
20,20.0,1.0,1383.1,25.3,4513.8,23.6,2018.0,1.0
21,21.0,1.0,1529.6,22.2,5073.4,22.6,2018.0,1.0
22,22.0,1.0,1671.0,20.2,5467.2,22.2,2018.0,1.0
23,23.0,1.0,1616.8,20.4,5380.4,22.1,2018.0,1.0
24,0.0,3.0,1555.5,19.6,5127.3,22.0,2018.0,1.0
25,1.0,3.0,1480.9,18.2,4794.0,21.8,2018.0,1.0
26,2.0,3.0,1415.2,16.6,4480.7,21.1,2018.0,1.0
27,3.0,3.0,1373.3,15.2,4262.8,20.6,2018.0,1.0
28,4.0,3.0,1351.2,15.2,4137.0,20.3,2018.0,1.0
29,5.0,3.0,1342.6,15.0,4084.7,20.1,2018.0,1.0
30,6.0,3.0,1326.0,15.4,4039.5,19.0,2018.0,1.0
31,7.0,3.0,1297.1,16.2,4191.3,20.4,2018.0,1.0
32,8.0,3.0,1405.5,18.6,4724.1,22.0,2018.0,1.0
33,9.0,3.0,1582.2,22.0,5357.5,24.6,2018.0,1.0
34,10.0,3.0,1683.8,25.2,5853.7,26.6,2018.0,1.0
35,11.0,3.0,1771.0,26.4,6181.2,29.2,2018.0,1.0
36,12.0,3.0,1843.1,29.2,6419.3,30.8,2018.0,1.0
37,13.0,3.0,1860.0,28.5,6654.5,32.0,2018.0,1.0
38,14.0,3.0,1885.6,28.4,6873.8,31.7,2018.0,1.0
39,15.0,3.0,1882.9,23.4,7021.2,32.4,2018.0,1.0
40,16.0,3.0,1875.9,23.4,7002.4,31.9,2018.0,1.0
41,17.0,3.0,1944.7,23.0,6980.6,31.4,2018.0,1.0
42,18.0,3.0,1955.4,19.6,6791.2,31.3,2018.0,1.0
43,19.0,3.0,1923.9,17.8,6517.6,29.7,2018.0,1.0
44,20.0,3.0,1914.0,17.6,6361.7,28.3,2018.0,1.0
45,21.0,3.0,2012.1,16.6,6687.9,26.8,2018.0,1.0
46,22.0,3.0,2057.6,15.8,6928.8,25.6,2018.0,1.0
47,23.0,3.0,1998.7,12.6,6606.9,24.3,2018.0,1.0
48,0.0,4.0,1890.0,11.6,6039.2,22.6,2018.0,1.0
49,1.0,4.0,1817.2,10.8,5492.0,21.5,2018.0,1.0
50,2.0,4.0,1716.6,11.1,5059.0,20.9,2018.0,1.0
51,3.0,4.0,1652.1,10.8,4792.0,20.5,2018.0,1.0
52,4.0,4.0,1627.6,9.8,4614.6,18.8,2018.0,1.0
53,5.0,4.0,1605.5,10.3,4540.2,17.4,2018.0,1.0
54,6.0,4.0,1563.3,10.6,4472.0,16.9,2018.0,1.0
55,7.0,4.0,1510.9,12.8,4521.3,18.9,2018.0,1.0
56,8.0,4.0,1623.8,14.6,4968.0,23.2,2018.0,1.0
57,9.0,4.0,1735.8,18.2,5577.4,25.0,2018.0,1.0
58,10.0,4.0,1830.1,22.1,6020.1,26.7,2018.0,1.0
59,11.0,4.0,1911.1,23.9,6425.9,28.6,2018.0,1.0
60,12.0,4.0,1983.1,25.7,6679.1,31.2,2018.0,1.0
61,13.0,4.0,2029.2,27.3,7033.4,31.6,2018.0,1.0
62,14.0,4.0,2035.7,28.5,7314.0,32.3,2018.0,1.0
63,15.0,4.0,2038.7,28.8,7502.6,32.8,2018.0,1.0
64,16.0,4.0,1973.0,29.6,7588.5,33.8,2018.0,1.0
65,17.0,4.0,1990.6,30.2,7524.1,33.3,2018.0,1.0
66,18.0,4.0,2006.3,27.3,7335.6,32.9,2018.0,1.0
67,19.0,4.0,1993.4,24.2,7008.1,31.2,2018.0,1.0
68,20.0,4.0,1970.8,21.5,6832.5,30.0,2018.0,1.0
69,21.0,4.0,2111.2,20.0,7269.6,28.1,2018.0,1.0
70,22.0,4.0,2171.3,18.0,7568.1,26.2,2018.0,1.0
71,23.0,4.0,2085.9,16.4,7360.6,26.3,2018.0,1.0
72,0.0,5.0,2006.2,16.6,6975.3,26.0,2018.0,1.0
73,1.0,5.0,1895.4,15.8,6373.4,25.3,2018.0,1.0
74,2.0,5.0,1813.4,18.4,5931.9,24.6,2018.0,1.0
75,3.0,5.0,1738.3,17.4,5577.0,23.6,2018.0,1.0
76,4.0,5.0,1689.5,17.0,5338.9,23.1,2018.0,1.0
77,5.0,5.0,1691.5,17.2,5216.0,22.2,2018.0,1.0
78,6.0,5.0,1637.2,18.4,5110.0,23.0,2018.0,1.0
79,7.0,5.0,1560.1,18.8,5134.6,24.5,2018.0,1.0
80,8.0,5.0,1635.6,21.6,5641.6,27.2,2018.0,1.0
81,9.0,5.0,1775.1,26.5,6313.1,28.8,2018.0,1.0
82,10.0,5.0,1886.6,27.9,6836.3,30.2,2018.0,1.0
83,11.0,5.0,1923.2,26.9,7181.1,31.6,2018.0,1.0
84,12.0,5.0,2039.2,26.8,7600.3,33.2,2018.0,1.0
85,13.0,5.0,2115.7,26.5,8007.0,34.8,2018.0,1.0
86,14.0,5.0,2189.7,23.4,8292.8,35.4,2018.0,1.0
87,15.0,5.0,2179.7,24.0,8616.2,35.6,2018.0,1.0
88,16.0,5.0,2161.8,25.5,8762.5,36.6,2018.0,1.0
89,17.0,5.0,2168.1,26.5,8650.8,35.9,2018.0,1.0
90,18.0,5.0,2144.0,26.4,8422.4,35.4,2018.0,1.0
91,19.0,5.0,2116.5,22.1,8079.3,34.4,2018.0,1.0
92,20.0,5.0,2068.3,20.7,7927.9,33.1,2018.0,1.0
93,21.0,5.0,2144.5,19.4,8423.5,31.8,2018.0,1.0
94,22.0,5.0,2216.9,20.0,8839.6,31.1,2018.0,1.0
95,23.0,5.0,2130.4,19.8,8735.2,30.5,2018.0,1.0
96,0.0,6.0,2095.9,19.2,8319.4,30.3,2018.0,1.0
97,1.0,6.0,1936.9,18.0,7732.7,29.8,2018.0,1.0
