,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Año,Mes,Trim
0,0.0,1.0,1544.873,19.2,4593.287,2018.0,1.0,1.0
1,1.0,1.0,1425.868,18.6,4384.859,2018.0,1.0,1.0
2,2.0,1.0,1387.791,18.5,4266.546,2018.0,1.0,1.0
3,3.0,1.0,1327.708,17.9,4103.462,2018.0,1.0,1.0
4,4.0,1.0,1268.554,17.5,3912.347,2018.0,1.0,1.0
5,5.0,1.0,1217.038,17.6,3771.27,2018.0,1.0,1.0
6,6.0,1.0,1128.84,17.5,3543.885,2018.0,1.0,1.0
7,7.0,1.0,1814.001695652174,18.2,3236.615,2018.0,1.0,1.0
8,8.0,1.0,1903.2402608695654,20.3,3242.707,2018.0,1.0,1.0
9,9.0,1.0,1518.5732173913043,23.0,3362.095,2018.0,1.0,1.0
10,10.0,1.0,1098.717,24.1,3533.832,2018.0,1.0,1.0
11,11.0,1.0,1163.243,24.2,3743.736,2018.0,1.0,1.0
12,12.0,1.0,1213.248,25.2,3977.86,2018.0,1.0,1.0
13,13.0,1.0,1251.905,26.8,4190.38,2018.0,1.0,1.0
14,14.0,1.0,1270.311,27.2,4315.084,2018.0,1.0,1.0
15,15.0,1.0,1278.104,27.6,4348.328,2018.0,1.0,1.0
16,16.0,1.0,1312.695,27.6,4381.883,2018.0,1.0,1.0
17,17.0,1.0,1329.66,27.8,4437.369,2018.0,1.0,1.0
18,18.0,1.0,1342.207,26.7,4465.578,2018.0,1.0,1.0
19,19.0,1.0,1356.613,25.0,4482.16,2018.0,1.0,1.0
20,20.0,1.0,1383.077,23.6,4513.834,2018.0,1.0,1.0
21,21.0,1.0,1529.639,22.6,5073.429,2018.0,1.0,1.0
22,22.0,1.0,1671.002,22.2,5467.168,2018.0,1.0,1.0
23,23.0,1.0,1616.774,22.1,5380.353,2018.0,1.0,1.0
24,0.0,3.0,1555.532,22.0,5127.305,2018.0,1.0,1.0
25,1.0,3.0,1480.94,21.8,4794.029,2018.0,1.0,1.0
26,2.0,3.0,1415.181,21.1,4480.717,2018.0,1.0,1.0
27,3.0,3.0,1373.3,20.6,4262.842,2018.0,1.0,1.0
28,4.0,3.0,1351.178,20.3,4136.994,2018.0,1.0,1.0
29,5.0,3.0,1342.644,20.1,4084.672,2018.0,1.0,1.0
30,6.0,3.0,1325.981,19.0,4039.511,2018.0,1.0,1.0
31,7.0,3.0,1297.142,20.4,4191.323,2018.0,1.0,1.0
32,8.0,3.0,1405.455,22.0,4724.106,2018.0,1.0,1.0
33,9.0,3.0,1582.249,24.6,5357.474,2018.0,1.0,1.0
34,10.0,3.0,1683.838,26.6,5853.722,2018.0,1.0,1.0
35,11.0,3.0,1770.951,29.2,6181.227,2018.0,1.0,1.0
36,12.0,3.0,1843.079,30.8,6419.25,2018.0,1.0,1.0
37,13.0,3.0,1859.999,32.0,6654.54,2018.0,1.0,1.0
38,14.0,3.0,1885.551,31.7,6873.832,2018.0,1.0,1.0
39,15.0,3.0,1882.901,32.4,7021.209,2018.0,1.0,1.0
40,16.0,3.0,1875.889,31.9,7002.353,2018.0,1.0,1.0
41,17.0,3.0,1944.741,31.4,6980.59,2018.0,1.0,1.0
42,18.0,3.0,1955.41,31.3,6791.236,2018.0,1.0,1.0
43,19.0,3.0,1923.945,29.7,6517.616,2018.0,1.0,1.0
44,20.0,3.0,1914.022,28.3,6361.706,2018.0,1.0,1.0
